,0
1251,379
1095,380
1111,381
1127,382
1191,383
1067,384
1195,385
1147,386
1119,387
1135,388
1199,389
1087,390
1279,391
1441,392
1385,393
1394,394
1478,395
1399,396
TCGA-AB-2807-03B-01W-0728-08,1539
16,397
244,398
72,399
200,400
168,401
248,402
156,403
221,404
142,405
167,406
27,407
91,408
171,409
187,410
324,411
404,412
392,413
360,414
309,415
377,416
441,417
262,418
374,419
298,420
314,421
378,422
506,423
414,424
510,425
387,426
435,427
471,428
720,429
752,430
644,431
588,432
700,433
529,434
657,435
721,436
545,437
753,438
517,439
661,440
613,441
585,442
665,443
681,444
761,445
653,446
749,447
765,448
674,449
690,450
710,451
694,452
634,453
718,454
627,455
691,456
727,457
551,458
631,459
667,460
623,461
976,462
880,463
868,464
948,465
776,466
824,467
849,468
821,469
774,470
790,471
986,472
954,473
979,474
775,475
967,476
935,477
987,478
991,479
1007,480
1092,481
1108,482
1124,483
1076,484
1064,485
1208,486
1244,487
1041,488
1249,489
1157,490
1125,491
1077,492
1085,493
1218,494
1058,495
1206,496
1034,497
1162,498
1047,499
1255,500
1051,501
1243,502
1259,503
1231,504
1055,505
1366,506
1446,507
TCGA-AB-2808-03B-01W-0728-08,1540
112,508
68,509
84,510
228,511
136,512
24,513
88,514
120,515
184,516
252,517
1,518
177,519
5,520
53,521
233,522
109,523
66,524
18,525
82,526
210,527
246,528
106,529
94,530
215,531
59,532
15,533
95,534
111,535
448,536
264,537
460,538
476,539
444,540
465,541
305,542
433,543
258,544
394,545
430,546
382,547
391,548
487,549
439,550
512,551
528,552
564,553
756,554
552,555
524,556
716,557
540,558
668,559
684,560
748,561
572,562
636,563
764,564
561,565
709,566
741,567
601,568
553,569
525,570
717,571
541,572
669,573
685,574
637,575
594,576
658,577
754,578
582,579
646,580
726,581
742,582
522,583
654,584
542,585
606,586
750,587
574,588
638,589
702,590
766,591
515,592
707,593
659,594
547,595
739,596
755,597
519,598
695,599
763,600
591,601
655,602
719,603
671,604
735,605
687,606
575,607
639,608
703,609
767,610
768,611
784,612
864,613
816,614
900,615
964,616
980,617
884,618
1012,619
908,620
812,621
892,622
961,623
785,624
865,625
929,626
917,627
981,628
1013,629
873,630
781,631
925,632
813,633
770,634
834,635
930,636
818,637
882,638
946,639
854,640
918,641
950,642
794,643
1018,644
926,645
958,646
995,647
883,648
947,649
839,650
807,651
999,652
887,653
795,654
